code,lat,lng,address
2016mdbet,38.9817209,-77.1272135,"7100 Whittier Blvd, Bethesda, MD 20817, USA"
2016mdblr,39.5591003,-76.28755430000001,"Amoss Center, 200 Thomas Run Rd, Bel Air, MD 21015, USA"
2016mdedg,38.9217717,-76.55984099999999,"201 Central Ave E, Edgewater, MD 21037, USA"
2016vabla,37.2108294,-80.45924769999999,"3401 Bruin Ln, Blacksburg, VA 24060, USA"
2016vados,37.8462119,-77.4240506,"13048 Dawn Blvd, Doswell, VA 23047, USA"
2016vahay,38.8453326,-77.6298068,"15000 Graduation Dr, Haymarket, VA 20169, USA"
2016vapor,36.8813559,-76.37026999999999,"4301 Cedar Lane, Portsmouth, VA 23703, USA"
