team,lat,lng,addr
6194,37.4963918,-78.24486639999999,"Cumberland, Virginia 23040"
620,38.9091199,-77.2922332,"Vienna, Virginia 22181"
6213,38.9860548,-76.745195,"Silver Spring, Maryland 20715"
623,38.9091199,-77.2922332,"Vienna, Virginia 22181"
6239,38.8851122,-76.9158068,"Capitol Heights, Maryland 20715"
6326,39.2903848,-76.6121893,"Baltimore, Maryland 21230"
6334,37.5334766,-77.6879696,"Midlothian, Virginia 23113"
6504,38.8681054,-77.20027449999999,"Falls Church, Virginia 22042"
6584,39.0256651,-77.0763669,"Kensington, Maryland 20895"
6802,37.0876141,-81.7590032,"Cedar Bluff, Virginia 24609"
686,39.6237094,-77.41082010000001,"Thurmont, Maryland 21788"
6863,39.1426709,-76.860565,"Woodbine, Maryland 20723"
6882,38.3031837,-77.4605399,"Fredericksburg, Virginia 22405"
6893,38.938237,-76.9326167,"Greenbelt, Maryland 20710"
7429,37.5061069,-77.6490005,"Midlothian, Virginia 23112"
7714,38.9191485,-77.0362967,"Washington, District of Columbia 20009"
7770,39.53176879999999,-76.3521514,"Churchville, Maryland 21014"
7886,39.4241558,-77.3668965,"Frederick, Maryland 21701"
8108,36.70983349999999,-81.9773482,"Abingdon, Virginia 24210"
8197,38.96851119999999,-76.8620327,"Lanham, Maryland 20706"
8217,38.8565647,-77.0967357,"Arlington, Virginia 22204"
8230,38.8565647,-77.0967357,"Arlington, Virginia 22204"
8326,38.9387704,-77.0967357,"Washington, District of Columbia 20016"
8357,38.7579835,-76.90668289999999,"Clinton, Maryland 20735"
836,38.3583554,-76.5719414,"Hollywood, Maryland 20636"
888,39.2682882,-76.9943449,"Glenelg, Maryland 21737"
977,36.6987493,-78.9013987,"South Boston, Virginia 24592"
