code,lat,lng,address
2017mdbet,38.9817209,-77.1272135,"7100 Whittier Blvd, Bethesda, MD 20817, USA"
2017mdedg,38.9217717,-76.55984099999999,"201 Central Ave E, Edgewater, MD 21037, USA"
2017mdowi,39.3947444,-76.77667249999999,"8600 McDonogh Rd, Owings Mills, MD 21117, USA"
2017vabla,37.2108294,-80.45924769999999,"3401 Bruin Ln, Blacksburg, VA 24060, USA"
2017vagle,37.6754374,-77.59957910000001,"4801 Twin Hickory Rd, Glen Allen, VA 23059, USA"
2017vahay,38.8453326,-77.6298068,"15000 Graduation Dr, Haymarket, VA 20169, USA"
2017vapor,36.8813559,-76.37026999999999,"4301 Cedar Lane, Portsmouth, VA 23703, USA"
