team,2017mdbet,2017mdedg,2017mdowi,2017vabla,2017vagle,2017vahay,2017vapor
1080,8993,9646,11409,12899,2070,8981,5022
1086,6718,8638,10400,11596,767,8027,5435
1111,3021,469,2717,17256,8029,4965,12451
1123,1502,3711,4380,14007,6046,1716,10468
1137,10792,11120,12882,16275,5446,10933,4761
116,1616,4001,4493,14307,6972,2016,11391
1262,16480,18865,19132,6466,11532,14806,14326
1389,231,2935,3428,14701,6708,2410,10981
1413,12319,14696,15163,11527,7049,13461,8852
1418,1077,3451,3955,14050,5942,1759,10307
1446,2144,2131,3381,15477,6565,3186,11174
1522,7655,8566,10329,12428,1598,7643,5749
1598,16003,18388,18881,7879,10331,14330,13125
1599,7655,8566,10329,12428,1598,7643,5749
1610,11360,13738,15501,16404,6091,11629,3073
1629,8999,10979,9568,16704,15035,9613,19457
1719,3804,3154,720,17568,9659,5585,14082
1727,3788,3306,1143,17720,9811,5737,14234
1731,3088,5549,5966,12872,5699,1415,10121
1793,11029,13922,13874,16660,5830,11017,1571
1885,2292,4735,5170,12801,6399,410,10821
1895,2460,4924,5337,13624,6059,1333,10481
1908,14042,12177,13843,19464,8635,13822,4034
1915,2581,2168,3420,15901,6875,3610,11449
2028,10434,13242,14574,16064,5235,10702,1664
2068,2560,4985,5437,14157,6035,1866,10457
2106,8985,10007,11863,10853,1610,7312,6862
2186,1616,4001,4493,14307,6816,2016,11391
2199,3958,3308,1058,17551,9813,5739,14235
2363,9871,12657,14769,15501,4672,10139,2109
2377,3280,1808,2028,17894,8721,4983,13598
2421,1819,3497,4697,14223,5634,1932,10114
2534,3985,3336,1172,17749,9892,5818,14197
2537,2620,2480,1780,16614,8336,4323,12891
2819,2139,2314,3823,15250,6023,2959,10445
2849,2254,2230,1935,16228,8086,3937,12736
2890,12774,15661,15619,18420,7591,12762,2238
2900,1375,2959,4210,14775,6305,2484,10670
2911,1433,3150,3926,15442,7578,3152,12000
2912,2581,2168,3420,15901,6875,3610,11449
2914,761,3435,3928,15088,6820,2797,11190
2961,1976,2604,3855,15364,6665,3073,10958
2964,2094,2330,3581,15427,6395,3136,10817
2988,3826,6211,5347,12317,8316,2894,12738
2998,7714,8948,10711,11758,1142,7017,5516
3072,16425,18810,19024,3404,13203,14647,18455
3136,7225,8226,10070,12070,1272,7213,5770
3168,12209,14907,15054,17445,7011,12197,2017
3258,16480,18865,19132,6466,11532,14806,14326
3274,7211,9653,9810,8071,6706,5433,11958
3283,1744,3816,3143,15758,7636,3526,12058
3359,11457,14329,14302,17088,6259,11445,682
3361,8776,11161,11375,7071,5295,6998,10547
3373,3166,5627,6044,12918,5799,1493,10222
3389,8652,6788,8454,22724,14228,10434,9627
339,4177,5572,7022,13596,3750,4375,8172
3455,1785,3253,4367,14896,5680,2605,10145
346,8961,9916,11678,12338,1952,8911,6100
3650,4138,3621,5421,16442,5591,4958,10422
3714,1894,1480,3239,16288,7190,3998,11475
3748,2854,2610,1533,16851,8703,4557,13070
3793,2560,4539,3129,14656,8553,3617,12912
384,7229,9149,10911,11479,943,7973,5756
3872,7241,9626,10118,9154,6678,5462,11930
3939,12019,14404,14618,3043,8797,10241,14049
3941,5390,4621,3441,19977,11638,7171,16060
401,14584,16969,17183,667,11362,12806,16614
4067,2561,2392,1901,16722,8290,4264,12712
4099,2232,4573,4314,15832,8149,4059,12629
4137,2620,2480,1780,16614,8336,4323,12758
422,7875,9110,10873,12051,1435,7863,5285
4242,1825,2304,3555,15158,6330,2867,10715
4286,8026,8937,10589,12079,1250,8014,5011
4456,951,3031,3524,15586,7400,3295,11871
4464,1787,2410,2223,15859,7758,3568,12181
4466,4749,7134,7626,11538,5465,3075,10098
4472,2088,3463,4932,15029,4845,2738,9267
449,1187,2254,2804,15259,7245,2968,11668
4505,3571,2921,579,17334,9881,5352,14575
4514,4005,2031,4784,17337,7621,5046,12044
4541,2839,1665,1993,16813,8501,4522,12747
4638,1589,3661,3665,15662,7496,3371,11918
4821,1433,3150,3796,15442,7515,3152,11439
4949,1832,1970,2915,15839,7114,3548,11536
5115,1477,2690,3296,15503,7361,3212,11932
5243,2193,4409,5070,14303,5989,2012,10411
5279,13022,15407,15900,6446,8749,11349,13659
5338,2478,4863,4629,13722,7684,1862,12101
539,7486,9405,11168,12233,1802,8721,5872
540,7602,9522,11284,11452,1020,7946,6309
5546,9378,10333,12096,13064,2686,8224,5500
5549,1077,3451,3955,14050,5884,1759,10307
5569,2036,2421,3671,15369,6192,3078,10614
5587,1835,3028,4206,15202,5920,2912,10400
5724,12821,15206,15420,2389,9599,11043,14851
5804,8292,9486,11249,11887,1270,8380,6054
5830,2801,1576,2250,17035,7750,4744,12173
5841,2953,4705,3295,15360,8845,4321,13267
5945,2218,2566,2071,16290,8189,3999,12570
5950,15145,17530,18023,7249,10091,13472,13066
5954,10984,13361,15124,10870,4950,11273,8600
5957,10352,13289,14493,15983,5154,10621,1141
5979,2727,2543,1776,16721,8411,4430,12863
6021,9344,11722,13485,14042,4075,9613,4938
611,1032,3417,3909,14511,6310,2220,10732
612,1923,4352,4800,13673,6543,1382,11023
614,2143,3151,4600,15231,5819,2940,10183
615,2036,2421,3671,15369,6192,3078,10614
617,7994,9486,10991,12481,1652,8563,4798
6189,9060,11438,13200,10444,3026,9370,7854
619,7883,10268,10761,8596,3936,6210,9188
6194,10591,11818,13469,10007,3414,8918,8475
620,1510,4032,4388,14194,6523,1903,10946
6213,2405,1485,2966,16739,7641,4448,12063
623,1510,4032,4388,14194,6909,1903,10946
6236,7225,8467,10070,12070,1272,7213,5770
6239,2477,2100,3532,15810,7085,3519,11378
6307,4177,5572,7022,13596,3750,4391,8172
6312,9507,9827,11590,15331,4502,9640,5184
6313,9590,9827,11590,15331,4502,9640,5184
6326,3198,2572,1479,17633,9071,4827,13493
6334,8872,9827,11590,11757,1325,8251,6569
6469,8985,10007,11863,10853,1610,7312,6862
6486,153117,155096,153686,150774,158897,154423,163469
6504,1174,3389,4051,14284,5881,1994,10245
6505,2581,2168,3420,15901,7057,3610,11542
6543,1791,4242,4669,14297,6734,2006,11156
6584,988,2668,3316,15069,7056,2778,11478
686,3306,5291,3662,15386,9177,4664,13620
836,5233,4464,6439,17605,6754,6052,11177
888,2952,2783,1789,16472,8681,4491,13061
977,13469,15847,16314,9859,7435,13685,10382
