code,lat,lng,address
2018mdedg,38.9217717,-76.55984099999999,"201 Central Ave E, Edgewater, MD 21037, USA"
2018mdoxo,38.797121,-76.9946373,"6701 Leyte Drive, Oxon Hill, MD 20745, USA"
2018vabla,37.5718868,-77.4641918,"3001 N Boulevard, Richmond, VA 23230, USA"
2018vagdc,38.7503092,-77.1445617,"7630 Telegraph Rd, Alexandria, VA 22315, USA"
2018vagle,37.6754374,-77.59957910000001,"4801 Twin Hickory Rd, Glen Allen, VA 23059, USA"
2018vahay,38.8453326,-77.6298068,"15000 Graduation Dr, Haymarket, VA 20169, USA"
2018vapor,36.8813559,-76.37026999999999,"4301 Cedar Lane, Portsmouth, VA 23703, USA"
