code,lat,lng,address
2023mdbet,38.9817209,-77.1272135,"7100 Whittier Blvd, Bethesda, MD 20817, USA"
2023mdtim,39.460923,-76.61091499999999,"255 E Padonia Rd, Timonium, MD 21093, USA"
2023vaale,38.7503092,-77.1445617,"7630 Telegraph Rd, Alexandria, VA 22315, USA"
2023vabla,37.2108294,-80.45924769999999,"3401 Bruin Ln, Blacksburg, VA 24060, USA"
2023vagle,37.6754374,-77.59957910000001,"4801 Twin Hickory Rd, Glen Allen, VA 23059, USA"
2023vapor,36.8813559,-76.37026999999999,"4301 Cedar Ln, Portsmouth, VA 23703, USA"
