code,lat,lng,address
2019mdbet,38.9817209,-77.1272135,"7100 Whittier Blvd, Bethesda, MD 20817, USA"
2019mdowi,39.3947444,-76.77667249999999,"8600 McDonogh Rd, Owings Mills, MD 21117, USA"
2019mdoxo,38.797121,-76.9946373,"6701 Leyte Dr, Oxon Hill, MD 20745, USA"
2019vabla,37.2108294,-80.45924769999999,"3401 Bruin Ln, Blacksburg, VA 24060, USA"
2019vagle,37.6754374,-77.59957910000001,"4801 Twin Hickory Rd, Glen Allen, VA 23059, USA"
2019vahay,38.8453326,-77.6298068,"15000 Graduation Dr, Haymarket, VA 20169, USA"
2019vapor,36.8813559,-76.37026999999999,"4301 Cedar Ln, Portsmouth, VA 23703, USA"
