code,lat,lng,address
2020mdbet,38.9817209,-77.1272135,"7100 Whittier Blvd, Bethesda, MD 20817, USA"
2020mdedg,38.9217717,-76.55984099999999,"201 Central Ave E, Edgewater, MD 21037, USA"
2020mdowi,39.3947444,-76.77667249999999,"8600 McDonogh Rd, Owings Mills, MD 21117, USA"
2020vabla,37.2108294,-80.45924769999999,"3401 Bruin Ln, Blacksburg, VA 24060, USA"
2020vagle,37.5718868,-77.4641918,"3001 N Arthur Ashe Blvd, Richmond, VA 23230, USA"
2020vahay,38.8453326,-77.6298068,"15000 Graduation Dr, Haymarket, VA 20169, USA"
2020vapor,36.8813559,-76.37026999999999,"4301 Cedar Ln, Portsmouth, VA 23703, USA"
